0.29, 0, 0, 9.33435, 1.719746, 0, 946.3209, -1262.031, -1.911234, 0.01343784, 0.1308036, 39.66639, 2.225933, 1.766902, 14.1318
 
0.3, -0.6043043, 0, 9.612137, 1.725134, 1.36405775120801204910, 1014.234, -1262.676, -1.911234, 0.01343784, 0.1308036, 41.06573, 2.225933, 1.76633, 14.13928
 
0.31, -0.6199713, -0.006043043, 9.890904, 1.730349, 1.316441780833602518420, 1084.736, -1263.322, -1.911234, 0.01343784, 0.1308036, 42.46975, 2.225933, 1.765757, 14.14676
 
0.32, -0.6349952, -0.01224276, 10.17099, 1.735754, 1.271129572030605192815, 1157.845, -1263.968, -1.911234, 0.01343784, 0.1308036, 43.87838, 2.225933, 1.765185, 14.15424
 
0.33, -0.6493073, -0.01859271, 10.45223, 1.741168, 1.227859786925998824420, 1233.584, -1264.616, -1.911234, 0.01343784, 0.1308036, 45.29159, 2.225933, 1.764613, 14.16172
 
0.3399999, -0.6628317, -0.02508578, 10.73442, 1.746408, 1.186399425488415071765, 1311.972, -1265.264, -1.911234, 0.01343784, 0.1308036, 46.70932, 2.225933, 1.76404, 14.1692
 
0.3499999, -0.6754915, -0.0317141, 11.01792, 1.75184, 1.146542775978447651390, 1393.03, -1265.913, -1.911234, 0.01343784, 0.1308036, 48.13157, 2.225933, 1.763468, 14.17668
 
0.3599999, -0.6872051, -0.03846901, 11.30245, 1.757188, 1.108106167200198095920, 1476.78, -1266.563, -1.911234, 0.01343784, 0.1308036, 49.55828, 2.225933, 1.762895, 14.18416
 
0.3699999, -0.6978888, -0.04534106, 11.58819, 1.762637, 1.07092901805096660245, 1563.241, -1267.214, -1.911234, 0.01343784, 0.1308036, 50.98943, 2.225933, 1.762323, 14.19165
 
0.3799999, -0.7074494, -0.05231995, 11.87472, 1.767819, 1.0348638667991889728875, 1652.415, -1267.865, -1.911234, 0.01343784, 0.1308036, 52.42469, 2.225933, 1.761751, 14.19913
 
0.3899999, -0.7157952, -0.05939445, 12.16197, 1.772733, 0.9997865517164367937373091516, 1744.306, -1268.518, -1.911234, 0.01343784, 0.1308036, 53.86382, 2.225933, 1.761178, 14.20661
 
0.3999999, -0.7228404, -0.0665524, 12.45004, 1.777469, 0.9655851908056687758075, 1838.934, -1269.171, -1.911234, 0.01343784, 0.1308036, 55.3068, 2.225933, 1.760606, 14.21409
 
0.4099999, -0.7284899, -0.0737808, 12.73912, 1.782212, 0.9321538845030762179521908484, 1936.316, -1269.825, -1.911234, 0.01343784, 0.1308036, 56.75362, 2.225933, 1.760034, 14.22157
 
0.4199999, -0.7326495, -0.08106571, 13.02929, 1.787055, 0.8993984882013879209375, 2036.471, -1270.479, -1.911234, 0.01343784, 0.1308036, 58.20426, 2.225933, 1.759461, 14.22905
 
0.4299999, -0.7352241, -0.0883922, 13.32046, 1.791906, 0.8672353527902453675783091516, 2139.417, -1271.135, -1.911234, 0.01343784, 0.1308036, 59.65871, 2.225933, 1.758889, 14.23653
 
0.4399998, -0.7361174, -0.09574444, 13.61253, 1.796671, 0.8355903800614767609930, 2245.171, -1271.792, -1.911234, 0.01343784, 0.1308036, 61.11693, 2.225933, 1.758316, 14.24401
 
0.4499998, -0.7352335, -0.1031056, 13.90569, 1.801537, 0.8043977632494627587930, 2353.754, -1272.449, -1.911234, 0.01343784, 0.1308036, 62.57896, 2.225933, 1.757744, 14.25149
 
0.4599998, -0.7324741, -0.1104579, 14.19975, 1.806316, 0.7735969433370424587135, 2465.182, -1273.106, -1.911234, 0.01343784, 0.1308036, 64.04475, 2.225933, 1.757172, 14.25898
 
0.4699998, -0.7277458, -0.1177827, 14.4949, 1.811197, 0.743138906353653241175, 2579.474, -1273.765, -1.911234, 0.01343784, 0.1308036, 65.51431, 2.225933, 1.756599, 14.26646
 
0.4799998, -0.7209545, -0.1250601, 14.79094, 1.815992, 0.7129778919327741165915, 2696.65, -1274.425, -1.911234, 0.01343784, 0.1308036, 66.98764, 2.225933, 1.756027, 14.27394
 
0.4899998, -0.7120095, -0.1322697, 15.08807, 1.820887, 0.6830772707901944763265, 2816.728, -1275.085, -1.911234, 0.01343784, 0.1308036, 68.46473, 2.225933, 1.755454, 14.28142
 
0.4999998, -0.7008218, -0.1393898, 15.3861, 1.825696, 0.6534033523808380872215, 2939.725, -1275.746, -1.911234, 0.01343784, 0.1308036, 69.94556, 2.225933, 1.754882, 14.2889
 
0.5099998, -0.6873059, -0.146398, 15.68521, 1.830606, 0.6239291632776501457820, 3065.663, -1276.408, -1.911234, 0.01343784, 0.1308036, 71.43016, 2.225933, 1.75431, 14.29638
 
0.5199998, -0.6713822, -0.1532711, 15.9853, 1.835523, 0.5946338174417827691465, 3194.557, -1277.071, -1.911234, 0.01343784, 0.1308036, 72.91847, 2.225933, 1.753737, 14.30386
 
0.5299998, -0.65298, -0.1599849, 16.28625, 1.840308, 0.5655014666729030971518091516, 3326.427, -1277.735, -1.911234, 0.01343784, 0.1308036, 74.41053, 2.225933, 1.753165, 14.31134
 
0.5399998, -0.6320279, -0.1665147, 16.58832, 1.84524, 0.5365203560144778260846908484, 3461.291, -1278.399, -1.911234, 0.01343784, 0.1308036, 75.90631, 2.225933, 1.752593, 14.31882
 
0.5499998, -0.6084681, -0.172835, 16.89133, 1.850133, 0.5076836633935101441445, 3599.168, -1279.064, -1.911234, 0.01343784, 0.1308036, 77.40582, 2.225933, 1.75202, 14.32631
 
