0.01000,866.53600
0.02000,2599.60900
0.03000,3590.38800
0.04000,3499.80000
0.05000,3400.49800
0.06000,3354.41200
0.07000,3344.85600
0.08000,3335.30000
0.09000,3325.74500
0.10000,3316.18900
0.11000,3306.63300
0.12000,3303.68400
0.13000,3310.36000
0.14000,3317.11900
0.15000,3323.87700
0.16000,3330.63500
0.17000,3337.39300
0.18000,3344.15200
0.19000,3350.91000
0.20000,3357.66800
0.21000,3364.42600
0.22000,3371.18400
0.23000,3377.94300
0.24000,3384.70100
0.25000,3391.45900
0.26000,3398.21700
0.27000,3404.97500
0.28000,3411.73400
0.29000,3418.49200
0.30500,3426.94000
0.32800,3439.61100
0.36100,3458.61900
0.41100,3485.22400
0.46100,3513.10800
0.51100,3540.79400
0.56100,3568.47900
0.61100,3596.16500
0.66100,3623.85000
0.71100,3651.53500
0.76100,3679.22100
0.81100,3706.90600
0.86100,3734.59200
0.91100,3762.29100
0.96100,3797.16900
1.01100,3838.07800
1.05500,3876.30500
1.09900,3895.90600
1.14900,3892.09700
1.19900,3887.83600
1.24900,3880.56300
1.29900,3867.31800
1.33900,3855.24400
1.37800,3844.58200
1.42800,3832.58700
1.47800,3819.18000
1.52800,3805.77300
1.57800,3792.17600
1.62800,3766.85600
1.67800,3734.60200
1.72800,3702.34900
1.77800,3670.09600
1.82800,3637.84200
1.87800,3605.58900
1.92800,3573.33600
1.97800,3541.08200
2.01200,3513.93900
2.06200,3486.79600
2.10400,3457.04800
2.14200,3431.28100
2.19200,3403.71600
2.24200,3376.72100
2.28500,3352.32300
2.32600,3330.31200
2.37600,3306.51600
2.40300,3286.41900
2.44300,3268.90800
2.49300,3250.18600
2.51400,3252.95100
2.54500,3257.90600
2.59000,3265.17300
2.62300,3272.74100
2.65400,3278.92200
2.70100,3286.35300
2.75100,3200.13700
2.77400,2527.99400
2.81000,1769.30400
2.84000,1032.14200
2.86700,747.07600
2.90600,476.92900
2.95600,188.57400
2.98300,57.32400
2.99000,10.26500
